gsm,title,cell type,donorid,tetramer,qc pass,visit
GSM7953735,2_DR0701_Day 14_lib41107,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953736,2_DR0701_Day 14_lib41108,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953737,2_DR0701_Day 14_lib41109,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953738,2_DR0701_Day 14_lib41110,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953739,2_DR0701_Day 14_lib41111,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953740,2_DR0701_Day 14_lib41112,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953741,2_DR0701_Day 14_lib41113,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953742,2_DR0701_Day 14_lib41114,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953743,2_DR0701_Day 14_lib41115,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953744,2_DR0701_Day 14_lib41116,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953745,2_DR0701_Day 14_lib41117,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953746,2_DR0701_Day 14_lib41118,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953747,2_DR0701_Day 14_lib41119,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953748,2_DR0701_Day 14_lib41120,CD4 T cell,2,DR0701,FALSE,Day 14
GSM7953749,2_DR0701_Day 14_lib41121,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953750,2_DR0701_Day 14_lib41122,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953751,2_DR0701_Day 14_lib41123,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953752,2_DR0701_Day 14_lib41124,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953753,2_DR0701_Day 14_lib41125,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953754,2_DR0701_Day 14_lib41126,CD4 T cell,2,DR0701,TRUE,Day 14
GSM7953755,2_DR0701_Day 14_lib41127,CD4 T cell,2,DR0701,FALSE,Day 14
