Gene,HRA_CD4Naive_LFC,RZV_D14_LFC,RZV_D74_LFC,RZV_D365_LFC,Direction
TMEM150A,0.179,-1.3,-2.3,0.4,"Opposite (HZ Up, RZV Down)"
SVIP,0.055,-0.6,-0.9,0.4,"Opposite (HZ Up, RZV Down)"
SV2A,0.008,-2.3,-2.1,-4.2,"Opposite (HZ Up, RZV Down)"
SPIRE1,0.023,-2.7,1.3,2.0,"Opposite (HZ Up, RZV Down)"
SPINT2,1.513,-7.0,-5.8,-1.1,"Opposite (HZ Up, RZV Down)"
SPINK2,0.031,-1.1,-3.5,1.0,"Opposite (HZ Up, RZV Down)"
SPIN3,0.196,-5.2,-2.4,-1.1,"Opposite (HZ Up, RZV Down)"
SPATS2,0.275,-1.6,-2.9,0.2,"Opposite (HZ Up, RZV Down)"
SPATA33,0.084,-0.6,0.7,0.4,"Opposite (HZ Up, RZV Down)"
SPART,0.449,-1.8,-2.1,-0.9,"Opposite (HZ Up, RZV Down)"
SPAG16,0.374,-1.4,1.1,2.0,"Opposite (HZ Up, RZV Down)"
SOX8,0.022,-1.8,-1.5,-2.0,"Opposite (HZ Up, RZV Down)"
SORT1,0.097,-1.2,0.2,0.7,"Opposite (HZ Up, RZV Down)"
SORBS1,0.022,-0.7,-3.0,-2.1,"Opposite (HZ Up, RZV Down)"
SOCS2,0.182,-0.7,-1.3,0.4,"Opposite (HZ Up, RZV Down)"
SNX24,0.011,-2.9,-1.3,0.5,"Opposite (HZ Up, RZV Down)"
SNX18,0.176,-2.3,-2.0,-3.1,"Opposite (HZ Up, RZV Down)"
SNURF,0.194,-1.1,-0.6,-0.2,"Opposite (HZ Up, RZV Down)"
SNTB1,0.15,-1.6,-0.2,-0.0,"Opposite (HZ Up, RZV Down)"
SNRK,0.523,-0.8,-0.1,-0.5,"Opposite (HZ Up, RZV Down)"
SPON1,0.008,-2.5,2.4,1.0,"Opposite (HZ Up, RZV Down)"
SPRYD3,0.289,-0.7,-1.3,-0.2,"Opposite (HZ Up, RZV Down)"
SPRYD4,0.12,-0.6,-0.2,-1.0,"Opposite (HZ Up, RZV Down)"
SPRYD7,0.129,-1.8,-3.3,1.2,"Opposite (HZ Up, RZV Down)"
STXBP1,0.039,-1.9,-1.5,-1.4,"Opposite (HZ Up, RZV Down)"
STX1A,0.022,-1.0,1.4,1.5,"Opposite (HZ Up, RZV Down)"
STX19,0.01,-0.9,0.8,-1.5,"Opposite (HZ Up, RZV Down)"
STPG1,0.226,-0.6,-0.2,-0.9,"Opposite (HZ Up, RZV Down)"
STOM,0.269,-1.9,-2.6,-1.5,"Opposite (HZ Up, RZV Down)"
STN1,0.07,-0.8,-1.5,-0.0,"Opposite (HZ Up, RZV Down)"
STK38L,0.184,-0.6,-0.2,0.5,"Opposite (HZ Up, RZV Down)"
STK36,0.106,-0.6,-1.3,2.4,"Opposite (HZ Up, RZV Down)"
SVIL,0.219,-2.3,-1.8,-0.5,"Opposite (HZ Up, RZV Down)"
STK17B,0.597,-1.0,-0.6,-0.3,"Opposite (HZ Up, RZV Down)"
STARD3NL,0.286,-0.6,-0.3,0.1,"Opposite (HZ Up, RZV Down)"
STARD10,0.486,-1.2,-0.9,-0.4,"Opposite (HZ Up, RZV Down)"
SSBP3,0.151,-0.7,0.2,0.3,"Opposite (HZ Up, RZV Down)"
SSBP2,0.247,-3.2,-2.7,-5.6,"Opposite (HZ Up, RZV Down)"
SREBF1,0.16,-1.0,-0.7,-0.9,"Opposite (HZ Up, RZV Down)"
SRCAP,0.003,-0.8,-0.2,-0.8,"Opposite (HZ Up, RZV Down)"
SQLE,0.236,-0.6,-0.7,0.3,"Opposite (HZ Up, RZV Down)"
SPTBN4,0.007,-1.6,-1.3,-0.8,"Opposite (HZ Up, RZV Down)"
STARD5,0.166,-1.1,-0.2,-1.2,"Opposite (HZ Up, RZV Down)"
TMEM161B,0.479,-0.6,-0.4,-0.4,"Opposite (HZ Up, RZV Down)"
TMEM177,0.12,-0.7,-2.0,-2.1,"Opposite (HZ Up, RZV Down)"
TMEM184C,0.359,-0.7,-0.2,0.3,"Opposite (HZ Up, RZV Down)"
TRBV2,0.041,-1.0,0.1,-0.7,"Opposite (HZ Up, RZV Down)"
TRBV19,0.137,-1.2,0.0,0.2,"Opposite (HZ Up, RZV Down)"
TRBV18,0.265,-0.8,-1.3,0.5,"Opposite (HZ Up, RZV Down)"
TRBV14,0.172,-2.1,-1.6,-1.3,"Opposite (HZ Up, RZV Down)"
TRBV12-4,0.022,-1.4,-2.6,0.2,"Opposite (HZ Up, RZV Down)"
TRBV10-3,0.029,-3.3,-1.8,-2.7,"Opposite (HZ Up, RZV Down)"
TRAV9-2,0.03,-1.9,0.1,0.8,"Opposite (HZ Up, RZV Down)"
TRAV8-3,0.146,-1.0,0.8,0.0,"Opposite (HZ Up, RZV Down)"
TRAV41,0.116,-0.7,-1.4,-1.4,"Opposite (HZ Up, RZV Down)"
TRAV4,0.618,-0.9,-0.6,-1.0,"Opposite (HZ Up, RZV Down)"
TRAV34,0.015,-1.4,-1.5,-1.2,"Opposite (HZ Up, RZV Down)"
TRAV30,0.056,-3.8,-1.6,1.3,"Opposite (HZ Up, RZV Down)"
TRAV26-2,0.016,-2.0,-2.1,-1.9,"Opposite (HZ Up, RZV Down)"
TRAV26-1,0.091,-1.2,-0.9,-0.7,"Opposite (HZ Up, RZV Down)"
TRAV24,0.035,-2.5,-3.1,-2.9,"Opposite (HZ Up, RZV Down)"
TRAV22,0.054,-0.6,-4.7,-0.8,"Opposite (HZ Up, RZV Down)"
TRAV21,0.099,-2.2,1.4,-2.3,"Opposite (HZ Up, RZV Down)"
TRBV29-1,0.179,-1.6,-2.5,-3.0,"Opposite (HZ Up, RZV Down)"
TRBV3-1,0.098,-2.0,0.6,-0.7,"Opposite (HZ Up, RZV Down)"
TRBV4-1,0.088,-1.7,-2.7,-2.7,"Opposite (HZ Up, RZV Down)"
TRBV4-2,0.016,-0.7,-2.3,-1.0,"Opposite (HZ Up, RZV Down)"
TSPYL5,0.047,-1.0,-0.4,-2.6,"Opposite (HZ Up, RZV Down)"
TSPAN6,0.132,-1.8,-3.0,3.2,"Opposite (HZ Up, RZV Down)"
TSHZ1,0.158,-1.2,0.7,-0.6,"Opposite (HZ Up, RZV Down)"
TRMT2B,0.17,-1.7,-0.2,-2.4,"Opposite (HZ Up, RZV Down)"
TRMT11,0.417,-1.0,-1.3,-0.2,"Opposite (HZ Up, RZV Down)"
TRIP13,0.015,-0.9,0.1,0.1,"Opposite (HZ Up, RZV Down)"
TRIO,0.054,-1.5,1.3,-3.3,"Opposite (HZ Up, RZV Down)"
TRIM69,1.115,-0.7,-0.6,-0.5,"Opposite (HZ Up, RZV Down)"
TRAV20,0.047,-4.4,-4.4,-4.7,"Opposite (HZ Up, RZV Down)"
TRIM52,0.461,-0.8,-0.1,-0.6,"Opposite (HZ Up, RZV Down)"
TRIM26,0.329,-0.7,0.4,0.0,"Opposite (HZ Up, RZV Down)"
TRIM2,0.159,-3.3,0.4,-2.5,"Opposite (HZ Up, RZV Down)"
TRG-AS1,0.137,-0.8,-4.2,-3.1,"Opposite (HZ Up, RZV Down)"
TRERF1,0.134,-1.5,-2.5,-1.6,"Opposite (HZ Up, RZV Down)"
TRDMT1,0.401,-0.9,-0.6,-0.6,"Opposite (HZ Up, RZV Down)"
TRBV9,0.036,-1.5,2.0,-0.8,"Opposite (HZ Up, RZV Down)"
TRBV7-6,0.005,-1.1,-1.9,-0.6,"Opposite (HZ Up, RZV Down)"
TRBV7-3,0.016,-0.7,3.2,2.7,"Opposite (HZ Up, RZV Down)"
TRIM44,0.654,-1.0,-0.7,-0.2,"Opposite (HZ Up, RZV Down)"
TRAV2,0.038,-0.6,1.6,0.8,"Opposite (HZ Up, RZV Down)"
TRAV19,0.153,-2.3,-0.4,-0.4,"Opposite (HZ Up, RZV Down)"
TRAV17,0.247,-2.7,0.2,-1.0,"Opposite (HZ Up, RZV Down)"
TNFRSF10D,0.198,-4.2,-1.8,0.8,"Opposite (HZ Up, RZV Down)"
TNF,0.163,-1.1,-0.9,-0.4,"Opposite (HZ Up, RZV Down)"
TMTC3,0.09,-1.1,-0.3,-0.3,"Opposite (HZ Up, RZV Down)"
TMPO-AS1,0.096,-1.1,0.6,0.8,"Opposite (HZ Up, RZV Down)"
TMOD2,0.225,-2.3,2.3,1.2,"Opposite (HZ Up, RZV Down)"
TMEM81,0.054,-3.1,-4.5,-5.5,"Opposite (HZ Up, RZV Down)"
TMEM63B,0.042,-0.8,2.1,-0.2,"Opposite (HZ Up, RZV Down)"
TMEM63A,1.242,-2.4,1.0,-1.1,"Opposite (HZ Up, RZV Down)"
TNFRSF13C,0.086,-2.1,-1.7,-3.0,"Opposite (HZ Up, RZV Down)"
TMEM53,0.0,-0.6,1.8,3.6,"Opposite (HZ Up, RZV Down)"
TMEM25,0.223,-2.6,-1.0,-1.3,"Opposite (HZ Up, RZV Down)"
TMEM231,0.003,-1.9,-0.9,1.2,"Opposite (HZ Up, RZV Down)"
TMEM229B,0.061,-2.3,-1.5,-1.5,"Opposite (HZ Up, RZV Down)"
TMEM216,0.398,-0.7,-0.1,0.7,"Opposite (HZ Up, RZV Down)"
TMEM200A,0.033,-3.0,-0.1,-0.1,"Opposite (HZ Up, RZV Down)"
TMEM192,0.327,-0.6,-0.8,-0.5,"Opposite (HZ Up, RZV Down)"
TMEM19,0.488,-0.6,-0.7,-0.7,"Opposite (HZ Up, RZV Down)"
TMEM185B,0.08,-0.8,-0.1,-0.4,"Opposite (HZ Up, RZV Down)"
TMEM38B,0.248,-1.4,-0.8,-0.3,"Opposite (HZ Up, RZV Down)"
TTC8,0.046,-1.5,-1.9,-0.2,"Opposite (HZ Up, RZV Down)"
TNFSF10,1.557,-1.0,-1.2,-0.3,"Opposite (HZ Up, RZV Down)"
TNFSF14,0.271,-1.0,-0.6,-0.5,"Opposite (HZ Up, RZV Down)"
TRAV13-2,0.179,-0.7,-0.4,-1.5,"Opposite (HZ Up, RZV Down)"
TRAV12-3,0.236,-2.2,0.3,-2.5,"Opposite (HZ Up, RZV Down)"
TRAV1-2,0.076,-0.9,-2.0,1.3,"Opposite (HZ Up, RZV Down)"
TRAV1-1,0.011,-1.7,-3.2,0.1,"Opposite (HZ Up, RZV Down)"
TRAT1,1.031,-0.6,-0.4,-0.9,"Opposite (HZ Up, RZV Down)"
TRAPPC2,0.447,-0.8,-0.1,0.1,"Opposite (HZ Up, RZV Down)"
TRAM2,0.318,-1.2,-2.2,-1.6,"Opposite (HZ Up, RZV Down)"
TRAJ49,0.012,-0.8,-1.2,-0.8,"Opposite (HZ Up, RZV Down)"
TNFSF13B,0.133,-1.3,-0.6,-1.9,"Opposite (HZ Up, RZV Down)"
TRAF4,0.084,-0.9,-0.8,-0.9,"Opposite (HZ Up, RZV Down)"
TRABD2A,0.037,-0.9,-2.8,-0.1,"Opposite (HZ Up, RZV Down)"
TPPP,0.036,-2.0,-4.1,-1.0,"Opposite (HZ Up, RZV Down)"
TPM2,0.007,-0.7,0.7,1.0,"Opposite (HZ Up, RZV Down)"
TPM1,0.204,-2.1,-1.3,0.7,"Opposite (HZ Up, RZV Down)"
TPH1,0.039,-0.8,-1.0,0.3,"Opposite (HZ Up, RZV Down)"
TPD52,0.535,-1.4,-0.4,0.4,"Opposite (HZ Up, RZV Down)"
TP53TG1,0.318,-0.8,1.0,-1.4,"Opposite (HZ Up, RZV Down)"
TONSL,0.008,-1.0,1.8,-0.7,"Opposite (HZ Up, RZV Down)"
TRAF3IP1,0.037,-1.1,-0.1,1.2,"Opposite (HZ Up, RZV Down)"
NAT14,0.048,-0.8,-3.7,-3.5,"Opposite (HZ Up, RZV Down)"
IL17RC,0.154,-1.0,-2.1,-1.4,"Opposite (HZ Up, RZV Down)"
NACC2,0.042,-3.2,-1.7,1.2,"Opposite (HZ Up, RZV Down)"
CORO2A,0.23,-3.5,-3.4,-5.2,"Opposite (HZ Up, RZV Down)"
COQ8B,0.164,-3.0,-2.1,0.1,"Opposite (HZ Up, RZV Down)"
COPZ2,0.038,-0.8,1.6,-0.4,"Opposite (HZ Up, RZV Down)"
COMTD1,0.286,-0.9,0.0,1.2,"Opposite (HZ Up, RZV Down)"
COMMD7,1.347,-0.6,-0.3,0.8,"Opposite (HZ Up, RZV Down)"
COL9A2,0.034,-1.8,1.4,1.8,"Opposite (HZ Up, RZV Down)"
COL6A1,0.073,-5.0,-4.6,-4.4,"Opposite (HZ Up, RZV Down)"
COG7,0.133,-0.9,-0.9,0.4,"Opposite (HZ Up, RZV Down)"
COG6,0.27,-1.7,0.6,0.5,"Opposite (HZ Up, RZV Down)"
CNTNAP1,0.083,-2.5,-1.3,-1.6,"Opposite (HZ Up, RZV Down)"
CNN3,0.042,-3.3,-2.1,-3.1,"Opposite (HZ Up, RZV Down)"
CNKSR2,0.054,-0.8,-0.3,-1.4,"Opposite (HZ Up, RZV Down)"
CLYBL,0.015,-1.7,2.0,-0.6,"Opposite (HZ Up, RZV Down)"
CLUAP1,0.422,-1.8,-1.6,-3.8,"Opposite (HZ Up, RZV Down)"
CLIP1,0.514,-0.6,-0.2,0.1,"Opposite (HZ Up, RZV Down)"
CLDND2,0.062,-1.6,-1.6,2.5,"Opposite (HZ Up, RZV Down)"
CLCN3,0.642,-0.8,1.2,0.0,"Opposite (HZ Up, RZV Down)"
CORO7,1.047,-0.9,-0.1,-1.7,"Opposite (HZ Up, RZV Down)"
CPOX,0.523,-0.9,0.3,-1.6,"Opposite (HZ Up, RZV Down)"
CRB3,0.16,-2.4,-2.2,-0.1,"Opposite (HZ Up, RZV Down)"
CRIM1,0.015,-1.1,-0.7,-1.6,"Opposite (HZ Up, RZV Down)"
CUX1,0.189,-0.9,-1.2,-0.6,"Opposite (HZ Up, RZV Down)"
CUBN,0.067,-0.6,1.2,-0.3,"Opposite (HZ Up, RZV Down)"
CTSZ,0.098,-1.9,-1.2,-1.6,"Opposite (HZ Up, RZV Down)"
CTSO,0.306,-4.1,-2.1,-2.7,"Opposite (HZ Up, RZV Down)"
CTSL,0.065,-2.0,-2.1,-1.4,"Opposite (HZ Up, RZV Down)"
CTSF,0.111,-2.0,-0.8,-1.2,"Opposite (HZ Up, RZV Down)"
CTNNA1,0.132,-1.5,-0.6,0.4,"Opposite (HZ Up, RZV Down)"
CTC1,0.375,-0.7,-0.7,-0.2,"Opposite (HZ Up, RZV Down)"
CLCF1,0.118,-1.0,-2.5,0.1,"Opposite (HZ Up, RZV Down)"
CSTF2T,0.446,-0.6,0.3,-1.0,"Opposite (HZ Up, RZV Down)"
CSPP1,0.063,-0.7,-0.5,-0.4,"Opposite (HZ Up, RZV Down)"
CSGALNACT1,0.317,-1.5,0.8,-0.7,"Opposite (HZ Up, RZV Down)"
CSF1R,0.037,-1.1,-1.1,-3.3,"Opposite (HZ Up, RZV Down)"
CSF1,0.155,-1.0,-1.7,0.1,"Opposite (HZ Up, RZV Down)"
CRYL1,0.107,-1.3,-0.7,0.4,"Opposite (HZ Up, RZV Down)"
CRYBG3,0.185,-4.2,-3.5,-1.2,"Opposite (HZ Up, RZV Down)"
CRYBG2,0.026,-4.4,-4.9,-2.9,"Opposite (HZ Up, RZV Down)"
CRYBG1,0.629,-0.6,-0.5,-1.0,"Opposite (HZ Up, RZV Down)"
CST3,0.149,-1.4,-1.1,0.2,"Opposite (HZ Up, RZV Down)"
CXCL5,0.004,-1.1,-0.7,1.9,"Opposite (HZ Up, RZV Down)"
CIB2,0.042,-1.7,0.7,-0.1,"Opposite (HZ Up, RZV Down)"
CHST10,0.007,-0.6,4.2,-1.0,"Opposite (HZ Up, RZV Down)"
CDK6,0.308,-0.7,-0.1,-0.9,"Opposite (HZ Up, RZV Down)"
CDK5RAP2,0.52,-0.6,0.1,0.1,"Opposite (HZ Up, RZV Down)"
CDK4,0.407,-0.7,-0.8,-0.3,"Opposite (HZ Up, RZV Down)"
CDK20,0.15,-1.1,-4.2,-1.3,"Opposite (HZ Up, RZV Down)"
CDK10,0.064,-0.6,0.1,0.1,"Opposite (HZ Up, RZV Down)"
CDH24,0.006,-1.1,-1.2,-2.3,"Opposite (HZ Up, RZV Down)"
CDH20,0.032,-1.5,-1.1,-3.9,"Opposite (HZ Up, RZV Down)"
CDH1,0.002,-0.7,2.5,1.1,"Opposite (HZ Up, RZV Down)"
CDC42SE2,0.308,-0.6,-0.5,-0.5,"Opposite (HZ Up, RZV Down)"
CDC42EP3,0.671,-1.1,-0.6,-0.3,"Opposite (HZ Up, RZV Down)"
CDC42BPB,0.044,-0.8,-2.2,-0.9,"Opposite (HZ Up, RZV Down)"
CDC37L1,0.372,-0.6,-0.4,-0.4,"Opposite (HZ Up, RZV Down)"
CDC20,0.03,-1.6,-0.5,0.2,"Opposite (HZ Up, RZV Down)"
CDC14B,0.096,-1.0,-3.1,-1.9,"Opposite (HZ Up, RZV Down)"
CDC14A,0.432,-1.2,-1.7,-0.5,"Opposite (HZ Up, RZV Down)"
CD9,0.193,-2.9,-3.0,-0.5,"Opposite (HZ Up, RZV Down)"
CD79B,1.492,-0.9,-4.1,-3.5,"Opposite (HZ Up, RZV Down)"
CDKL1,0.127,-0.7,-0.9,-1.0,"Opposite (HZ Up, RZV Down)"
CDKL5,0.057,-2.6,-1.3,-3.1,"Opposite (HZ Up, RZV Down)"
CDKN1A,0.056,-2.4,-1.4,-1.1,"Opposite (HZ Up, RZV Down)"
CDNF,0.079,-1.1,-2.2,-1.4,"Opposite (HZ Up, RZV Down)"
CHRNA10,0.061,-0.8,0.5,-0.2,"Opposite (HZ Up, RZV Down)"
CHI3L2,0.436,-3.3,-4.6,-2.9,"Opposite (HZ Up, RZV Down)"
CHCHD6,0.137,-1.9,-1.4,0.1,"Opposite (HZ Up, RZV Down)"
CHCHD10,0.533,-0.8,0.3,-0.1,"Opposite (HZ Up, RZV Down)"
CGAS,0.357,-0.8,-0.9,-0.5,"Opposite (HZ Up, RZV Down)"
CFP,0.795,-1.8,-1.3,-3.9,"Opposite (HZ Up, RZV Down)"
CFAP70,0.07,-1.2,0.2,-0.7,"Opposite (HZ Up, RZV Down)"
CFAP44,0.252,-1.0,0.0,-3.1,"Opposite (HZ Up, RZV Down)"
CHUK,0.521,-0.8,-0.4,-0.1,"Opposite (HZ Up, RZV Down)"
CES4A,0.073,-2.9,-2.8,-2.6,"Opposite (HZ Up, RZV Down)"
CEP70,0.268,-4.0,-1.8,1.2,"Opposite (HZ Up, RZV Down)"
CEP68,0.555,-2.3,-1.1,-0.0,"Opposite (HZ Up, RZV Down)"
CEP57L1,0.264,-0.8,-1.5,-0.5,"Opposite (HZ Up, RZV Down)"
CEP170B,0.019,-1.9,-2.2,-1.2,"Opposite (HZ Up, RZV Down)"
CEP120,0.545,-0.7,0.3,0.2,"Opposite (HZ Up, RZV Down)"
CENPW,0.248,-0.6,0.1,-2.5,"Opposite (HZ Up, RZV Down)"
CENPQ,0.294,-0.6,-0.1,-0.6,"Opposite (HZ Up, RZV Down)"
CEACAM1,0.041,-1.9,-1.1,-0.9,"Opposite (HZ Up, RZV Down)"
CEP85,0.089,-0.8,-1.0,-0.1,"Opposite (HZ Up, RZV Down)"
CXCR3,0.489,-0.6,-0.3,-0.5,"Opposite (HZ Up, RZV Down)"
CXCR5,0.116,-0.9,-0.1,-1.8,"Opposite (HZ Up, RZV Down)"
CYB5A,0.412,-1.3,-0.3,0.2,"Opposite (HZ Up, RZV Down)"
ENDOD1,0.358,-1.0,0.1,-2.8,"Opposite (HZ Up, RZV Down)"
EMP1,0.002,-3.5,-4.8,-0.7,"Opposite (HZ Up, RZV Down)"
EML5,0.101,-2.9,-3.2,-3.3,"Opposite (HZ Up, RZV Down)"
ELOVL7,0.031,-0.8,-2.7,-2.7,"Opposite (HZ Up, RZV Down)"
ELOVL4,0.157,-5.5,-5.3,-3.7,"Opposite (HZ Up, RZV Down)"
ELMO3,0.126,-3.2,1.0,-1.4,"Opposite (HZ Up, RZV Down)"
EIF4A1,0.602,-0.8,-0.6,-0.1,"Opposite (HZ Up, RZV Down)"
EID3,0.82,-0.9,-0.5,-0.5,"Opposite (HZ Up, RZV Down)"
EGR2,0.04,-0.8,-0.6,-0.5,"Opposite (HZ Up, RZV Down)"
EFNA3,0.101,-1.9,0.5,-1.5,"Opposite (HZ Up, RZV Down)"
EFCAB13,0.293,-3.2,-0.9,-0.6,"Opposite (HZ Up, RZV Down)"
EEPD1,0.181,-3.0,-3.8,-3.0,"Opposite (HZ Up, RZV Down)"
EEF2KMT,0.222,-1.3,-2.8,-0.5,"Opposite (HZ Up, RZV Down)"
EEF2K,0.002,-1.8,-2.3,-2.1,"Opposite (HZ Up, RZV Down)"
EEF1DP7,0.003,-2.9,-1.0,-0.6,"Opposite (HZ Up, RZV Down)"
EEF1A2,0.014,-2.0,-0.3,-1.5,"Opposite (HZ Up, RZV Down)"
EEA1,0.752,-0.7,-0.5,-0.7,"Opposite (HZ Up, RZV Down)"
ENO2,1.214,-2.2,-1.9,-0.5,"Opposite (HZ Up, RZV Down)"
ENPP4,0.427,-1.1,-1.2,-0.5,"Opposite (HZ Up, RZV Down)"
EPB41L2,0.162,-2.0,-3.4,-1.7,"Opposite (HZ Up, RZV Down)"
EPB41L4A,0.004,-1.2,-1.5,-2.0,"Opposite (HZ Up, RZV Down)"
F2RL1,0.048,-7.2,-7.4,-3.5,"Opposite (HZ Up, RZV Down)"
F11R,0.349,-3.3,-2.5,-0.6,"Opposite (HZ Up, RZV Down)"
EZR,0.071,-0.6,-0.7,-0.4,"Opposite (HZ Up, RZV Down)"
EVI2B,0.815,-0.8,-0.7,-0.8,"Opposite (HZ Up, RZV Down)"
EVI2A,1.83,-0.8,-0.7,-0.6,"Opposite (HZ Up, RZV Down)"
ETS2,0.179,-2.2,-1.5,-1.1,"Opposite (HZ Up, RZV Down)"
ETFBKMT,0.011,-0.7,2.2,1.4,"Opposite (HZ Up, RZV Down)"
ESCO2,0.054,-0.7,-1.1,-1.3,"Opposite (HZ Up, RZV Down)"
EDA,0.124,-3.0,-2.8,-0.8,"Opposite (HZ Up, RZV Down)"
ERO1A,0.409,-0.6,-0.4,0.1,"Opposite (HZ Up, RZV Down)"
ERICH6-AS1,0.041,-1.1,-1.0,-0.7,"Opposite (HZ Up, RZV Down)"
ERBB2,0.025,-1.1,-0.6,-0.9,"Opposite (HZ Up, RZV Down)"
ERAP2,0.513,-1.6,-1.4,-1.3,"Opposite (HZ Up, RZV Down)"
EPHX2,0.4,-2.5,-0.7,-0.5,"Opposite (HZ Up, RZV Down)"
EPHA4,0.035,-3.0,-0.4,-4.1,"Opposite (HZ Up, RZV Down)"
EPHA1,0.049,-0.6,-0.6,1.1,"Opposite (HZ Up, RZV Down)"
EPG5,0.46,-0.8,1.0,-1.1,"Opposite (HZ Up, RZV Down)"
EPB41L5,0.094,-2.8,-3.2,-0.8,"Opposite (HZ Up, RZV Down)"
ERMP1,0.186,-1.4,-1.1,-0.5,"Opposite (HZ Up, RZV Down)"
DYNLT3,0.469,-1.3,-1.1,0.0,"Opposite (HZ Up, RZV Down)"
DYNC2H1,0.066,-2.6,-2.2,-1.1,"Opposite (HZ Up, RZV Down)"
DUTP6,0.033,-1.6,-0.7,-1.9,"Opposite (HZ Up, RZV Down)"
DEPTOR,0.01,-2.3,-1.7,1.1,"Opposite (HZ Up, RZV Down)"
DEPDC7,0.173,-2.8,-2.5,-3.9,"Opposite (HZ Up, RZV Down)"
DDX60L,0.375,-1.3,-0.7,-0.7,"Opposite (HZ Up, RZV Down)"
DDX47,0.063,-0.7,0.3,0.3,"Opposite (HZ Up, RZV Down)"
DDX3X,0.487,-0.6,-0.5,-0.2,"Opposite (HZ Up, RZV Down)"
DDX11-AS1,0.027,-1.0,-1.4,-1.1,"Opposite (HZ Up, RZV Down)"
DDTL,0.021,-0.8,-2.8,-2.4,"Opposite (HZ Up, RZV Down)"
DDR1,0.004,-2.7,-0.5,0.7,"Opposite (HZ Up, RZV Down)"
DGLUCY,0.061,-1.0,1.1,-1.6,"Opposite (HZ Up, RZV Down)"
DCUN1D3,0.141,-1.0,-0.7,-0.6,"Opposite (HZ Up, RZV Down)"
DCBLD2,0.03,-1.0,-3.3,-3.9,"Opposite (HZ Up, RZV Down)"
DBT,0.519,-0.6,-1.1,-0.2,"Opposite (HZ Up, RZV Down)"
DBNDD1,0.1,-1.2,-1.2,1.5,"Opposite (HZ Up, RZV Down)"
DACT1,0.061,-2.4,-1.3,-2.7,"Opposite (HZ Up, RZV Down)"
CYSLTR1,0.654,-0.7,-0.5,-1.0,"Opposite (HZ Up, RZV Down)"
CYP51A1,0.095,-0.7,-0.1,-0.6,"Opposite (HZ Up, RZV Down)"
CYP2R1,0.061,-1.0,-0.4,0.6,"Opposite (HZ Up, RZV Down)"
CYFIP1,0.003,-0.8,-1.7,-2.7,"Opposite (HZ Up, RZV Down)"
DCHS1,0.032,-0.8,-3.9,-1.2,"Opposite (HZ Up, RZV Down)"
CD79A,0.125,-1.2,0.7,0.6,"Opposite (HZ Up, RZV Down)"
DHCR24,0.088,-0.7,-1.4,-2.2,"Opposite (HZ Up, RZV Down)"
DIP2B,0.257,-0.8,0.4,-0.1,"Opposite (HZ Up, RZV Down)"
DUSP7,0.211,-1.4,-2.0,-2.1,"Opposite (HZ Up, RZV Down)"
DUSP6,0.427,-0.7,0.9,-0.2,"Opposite (HZ Up, RZV Down)"
DUSP23,0.211,-0.7,-0.8,0.1,"Opposite (HZ Up, RZV Down)"
DTX3L,1.383,-1.1,-0.6,-0.5,"Opposite (HZ Up, RZV Down)"
DSN1,0.026,-3.0,0.0,-2.8,"Opposite (HZ Up, RZV Down)"
DSEL,0.012,-5.4,-3.5,-1.8,"Opposite (HZ Up, RZV Down)"
DSE,0.052,-1.0,-2.0,-2.2,"Opposite (HZ Up, RZV Down)"
DPP4,0.516,-1.3,-1.6,-1.2,"Opposite (HZ Up, RZV Down)"
DHCR7,0.071,-1.7,0.4,-0.4,"Opposite (HZ Up, RZV Down)"
DOLK,0.062,-0.6,-0.3,-6.2,"Opposite (HZ Up, RZV Down)"
DOCK7,0.047,-1.5,-1.0,0.1,"Opposite (HZ Up, RZV Down)"
DOCK10,0.462,-1.0,-1.1,-0.6,"Opposite (HZ Up, RZV Down)"
DNAH8,0.004,-1.2,-3.4,-0.1,"Opposite (HZ Up, RZV Down)"
DNAH6,0.151,-1.1,-2.2,-0.1,"Opposite (HZ Up, RZV Down)"
DMXL2,0.095,-1.3,-2.3,-1.5,"Opposite (HZ Up, RZV Down)"
DMXL1,0.295,-0.9,-0.4,-0.6,"Opposite (HZ Up, RZV Down)"
DLGAP3,0.016,-2.6,0.5,0.2,"Opposite (HZ Up, RZV Down)"
DLEC1,0.053,-3.0,-6.1,-3.7,"Opposite (HZ Up, RZV Down)"
DOCK9,0.352,-0.6,0.2,-0.2,"Opposite (HZ Up, RZV Down)"
FAAH,0.026,-1.8,-2.9,-3.3,"Opposite (HZ Up, RZV Down)"
CD63,0.629,-1.0,-0.8,0.4,"Opposite (HZ Up, RZV Down)"
CD48,1.545,-1.0,-0.8,-0.3,"Opposite (HZ Up, RZV Down)"
AP1S3,0.06,-4.0,-0.7,-0.8,"Opposite (HZ Up, RZV Down)"
AOC2,0.013,-1.8,1.9,-2.3,"Opposite (HZ Up, RZV Down)"
ANKZF1,0.426,-2.6,-0.6,-1.6,"Opposite (HZ Up, RZV Down)"
ANKS6,0.09,-1.9,-4.4,-1.4,"Opposite (HZ Up, RZV Down)"
ANKRD9,0.047,-0.8,-0.7,-0.3,"Opposite (HZ Up, RZV Down)"
ANKRD33B,0.01,-0.6,-1.6,1.9,"Opposite (HZ Up, RZV Down)"
