gene_id,ensembl_id,symbol,log2FC_HZ,padj_HZ
ENSG00000182154,ENSG00000182154,TFAP2E-AS1,0.421337613119951,0.0031039536757591
ENSG00000134982,ENSG00000134982,UQCRQ,-0.230006079664242,0.0031039536757591
ENSG00000267337,ENSG00000267337,LUCAT1,-0.437680332317189,0.0031039536757591
ENSG00000249252,ENSG00000249252,SIRPB2,-0.424420554709134,0.0031128043040751
ENSG00000179241,ENSG00000179241,YJU2B,-0.308487111830467,0.0031422396025451
ENSG00000143314,ENSG00000143314,GLYATL1B,0.458463282339972,0.0031422396025451
ENSG00000169967,ENSG00000169967,PRKN,-0.358820241707035,0.0031422396025451
ENSG00000167987,ENSG00000167987,PECAM1,-0.264490088369581,0.0031422396025451
ENSG00000137818,ENSG00000137818,PIGB,0.35738118125418,0.0031422396025451
ENSG00000062716,ENSG00000062716,TXNDC17,-0.405061211040859,0.0031473165414916
ENSG00000266256,ENSG00000266256,ISG15,-0.375082151047851,0.0031777911937316
ENSG00000130449,ENSG00000130449,HNRNPA2B1,-0.417168662782263,0.0031829000968959
ENSG00000073417,ENSG00000073417,MAP3K2,-0.277994862577183,0.0031829000968959
ENSG00000108344,ENSG00000108344,C1QTNF7-AS1,0.310245870336785,0.0032807614964689
ENSG00000164405,ENSG00000164405,SLAMF7,0.514645351677309,0.0033077336131833
ENSG00000255151,ENSG00000255151,CDK19,0.513245480851489,0.0033267691828368
